"P6040","DIRECTORIO","SECUENCIA_ENCUESTA","id","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
73,7372671,1,"7372671-1",192868,NA,NA,63156,62677,178541,155911,614799,63156,192868,63156,178541,NA,63156,NA
61,7372671,2,"7372671-2",192869,NA,NA,NA,NA,178542,155912,614800,NA,192869,NA,178542,NA,NA,NA
63,7372695,3,"7372695-3",192903,NA,NA,NA,NA,178572,155939,614908,NA,192903,NA,178572,NA,NA,NA
63,7372696,5,"7372696-5",192908,NA,NA,NA,NA,178577,155942,614923,NA,192908,NA,178577,NA,NA,NA
74,7372699,4,"7372699-4",192920,NA,NA,NA,NA,178588,155951,614940,NA,192920,NA,178588,NA,NA,NA
69,7372700,1,"7372700-1",192921,NA,NA,63174,62695,178589,155952,614954,63174,192921,63174,178589,5837,63174,NA
70,7372700,2,"7372700-2",192922,NA,NA,NA,NA,178590,155953,614955,NA,192922,NA,178590,5838,NA,NA
81,7372704,1,"7372704-1",192937,NA,16292,63177,62698,178604,155963,614987,63177,192937,63177,178604,NA,63177,NA
60,7372706,1,"7372706-1",192947,NA,NA,63179,62700,178613,155970,615024,63179,192947,63179,178613,NA,63179,NA
62,7372713,1,"7372713-1",192973,NA,NA,63186,62706,178637,155993,615086,63186,192973,63186,178637,NA,63186,NA
81,7372717,1,"7372717-1",192985,NA,NA,63189,62709,178649,156005,615120,63189,192985,63189,178649,NA,63189,NA
77,7372720,4,"7372720-4",193013,NA,NA,NA,NA,178674,156029,615167,NA,193013,NA,178674,NA,NA,NA
60,7372721,2,"7372721-2",193016,NA,NA,NA,NA,178677,156031,615176,NA,193016,NA,178677,NA,NA,NA
70,7372721,5,"7372721-5",193019,NA,NA,NA,NA,178680,156034,615179,NA,193019,NA,178680,NA,NA,NA
61,7372722,1,"7372722-1",193020,NA,16294,63196,62714,178681,156035,615186,63196,193020,63196,178681,NA,63196,NA
94,7372726,2,"7372726-2",193045,NA,NA,NA,NA,178702,156051,615246,NA,193045,NA,178702,NA,NA,NA
